Copper (OFHC) (UNS C10100/ C10200) - EC (10^-6/K) -   Equation Range: 4 to 300 K  Properties Data from NIST Cryogenic Material Property Database
Temperature,Lower Property Value,Recommended Property Value,Upper Property Value
4,0.0020525667037483803,0.0022806296708315337,0.002508692637914687
5,0.004909131668523255,0.005454590742803616,0.006000049817083978
6,0.008319384531558503,0.009243760590620558,0.010168136649682614
7,0.012285554313900873,0.013650615904334303,0.015015677494767735
8,0.017038533732099504,0.018931704146777226,0.020824874561454952
9,0.022860133036753435,0.025400147818614927,0.027940162600476423
10,0.030042973135526636,0.03338108126169626,0.03671918938786589
11,0.03888639743898212,0.043207108265535685,0.04752781909208926
12,0.049697215082728154,0.055219127869697945,0.060741040656667744
13,0.06278894336185266,0.06976549262428074,0.07674204188670881
14,0.0784790941497743,0.08719899349974923,0.09591889284972416
15,0.09708509277322272,0.10787232530358079,0.11865955783393888
16,0.11891944124156675,0.13213271249062972,0.1453459837396927
17,0.1442846043650446,0.16031622707227175,0.17634784977949894
18,0.17346797301650385,0.19274219224055983,0.21201641146461583
19,0.20673716191742958,0.22970795768603286,0.25267875345463614
20,0.24433582363900128,0.2714842484877792,0.29863267333655713
21,0.28648009947874176,0.31831122164304637,0.35014234380735104
22,0.3333557776527094,0.37039530850301045,0.40743483935331154
23,0.3851161878697202,0.4279068754108002,0.47069756295188026
24,0.4418808278045621,0.49097869756062457,0.5400765673166871
25,0.5037346905883545,0.5597052117648383,0.6156757329413223
26,0.5707282425713605,0.634142491745956,0.6975567409205518
27,0.642877986623014,0.7143088740255711,0.7857397614281283
28,0.7201675373924898,0.800186152658322,0.8802047679241544
29,0.80254913048452,0.8917212560939112,0.9808933817033024
30,0.8899454866309401,0.9888283184788222,1.0877111503267045
31,0.982251953922592,1.091391059913991,1.2005301659053904
32,1.0793388552874368,1.1992653947638185,1.3191919342402005
33,1.1810539740774677,1.3122821934194084,1.4435104127613494
34,1.2872251172812856,1.4302501303125394,1.5732751433437935
35,1.397662703096154,1.5529585589957267,1.7082544148952994
36,1.5121623270038917,1.6801803633376575,1.8481983996714235
37,1.630507267783599,1.8116747419817767,1.9928422161799546
38,1.7524709019041504,1.9471898910046115,2.1419088801050727
39,1.8778190012700535,2.086465556966726,2.295112112663399
40,2.0063118952653913,2.229235439183768,2.4521589831021453
41,2.1377064834045956,2.375229426005106,2.6127523686056167
42,2.271758089605501,2.524175655117223,2.776593220628946
43,2.4082221531982118,2.675802392442457,2.943382631686703
44,2.546855755224534,2.8298397280272596,3.1128237008299857
45,2.6874189814887086,2.9860210905430096,3.284623199597311
46,2.829676126168177,3.1440845846313077,3.458493043094439
47,2.973396741648809,3.303774157387566,3.6341515731263225
48,3.1183565417085357,3.464840601898373,3.811324662088211
49,3.2643381662200075,3.6270424069111193,3.9897466476022316
50,3.6006391393996497,3.7901464625259473,3.979653785652245
51,3.7562322006943414,3.9539286323098333,4.151625063925325
52,3.9122654923680495,4.118174202492684,4.324082912617318
53,4.068544307938615,4.2826782188827535,4.496812129826892
54,4.22488343597306,4.447245722076905,4.66960800818075
55,4.381107296588628,4.611691891145925,4.842276485703221
56,4.537050000421486,4.775842105706827,5.014634210992169
57,4.692555338945485,4.939531935732089,5.186508532518693
58,4.847476714534497,5.102607067931049,5.3577374213276014
59,5.0016770181909225,5.264923177043077,5.528169335895231
60,5.1550284622116385,5.426345749696462,5.697663037181285
61,5.307412374594551,5.586749867994264,5.866087361393977
62,5.458718961315313,5.746019959279277,6.033320957243241
63,5.608847042218754,5.904049518125004,6.199251994031254
64,5.757703765552379,6.06074080584461,6.36377784613684
65,5.905204305829326,6.216004532451922,6.526804759074519
66,6.051271549097922,6.369759525366233,6.688247501634545
67,6.195835769328799,6.521932388767157,6.848029008205515
68,6.338834299173303,6.67245715702453,7.0060800148757565
69,6.48021119790949,6.821274945167885,7.16233869242628
70,6.619916919163039,6.9683335991189885,7.316750279074938
71,6.757907980455436,7.113587347847828,7.469266715240219
72,6.894146636516686,7.256996459491249,7.6198462824658115
73,7.028600557910688,7.398526903063883,7.768453248217077
74,7.161242516305819,7.53815001716402,7.915057518022222
